row_index,start_dialogue,diagnostic_accuracy,use_of_dialogue_information,logical_consistency,estimate_completeness,parts_and_works_adequacy,safety,clarity,actionability,uncertainty_handling,business_logic_alignment,contextual_relevancy,error
769,Я не могу вытащить кабель батареи — тянуть за провода безопасно,7,8,9,7,8,10,9,8,10,10,8,
889,Почему многие старые принтеры перестали поддаваться чистке,7,8,8,6,7,10,9,7,9,10,8,
50,"Мой Google Pixel 9 делает мутные и пятнистые селфи, что делать, если я ничего не понимаю в ремонте?",7,9,8,6,8,10,9,8,9,10,7,
170,Как снять металлическую защитную пластину (shield plate)?,8,9,10,7,8,9,10,9,10,10,9,
290,Как правильно отключить провода от старого насоса,6,8,9,7,8,10,9,8,10,10,5,
410,Чем лучше всего сжимать пластиковые фиксаторы,7,9,8,6,7,10,9,8,10,10,2,
530,"Что означает, если при проверке выключателя мультиметр ничего не показывает",8,9,9,7,8,10,9,9,10,10,4,
650,Где находится батарейка в AirTag,10,9,10,8,10,10,10,8,10,10,7,
770,С чего начать замену джойстиков на Taranis X9D,7,8,9,6,8,10,8,7,10,10,9,
890,Можно ли восстановить калибровку без сервисных картриджей,7,8,9,6,5,10,8,7,10,10,7,
51,"Телефон стал плохо фотографировать спереди, иногда камера вообще не включается. Как починить?",7,9,8,7,8,10,9,8,9,10,6,
171,Можно ли повредить плату при снятии батареи?,8,9,9,7,8,10,9,8,10,10,6,
291,"Почему важно отметить, где какой провод при отключении насоса",4,8,7,5,3,10,9,6,10,10,6,
411,"Моя кофеварка набирает воду и молотый кофе, но кофе остаётся холодным после нажатия кнопки запуска",10,10,10,8,9,10,10,9,10,10,2,
531,Можно ли проверить розетку без мультиметра,7,8,9,6,7,10,9,8,10,10,3,
651,Как достать батарейку из AirTag,7,9,8,6,7,10,9,8,10,10,7,
771,"Как разобрать пульт, чтобы добраться до джойстиков",7,9,8,6,7,10,9,7,10,10,4,
891,Работает ли этот трюк на всех моделях HP,8,6,9,5,7,10,8,7,10,10,7,
52,"Можно ли самостоятельно заменить переднюю камеру в Pixel 9, если я никогда не разбирал телефон?",7,9,8,10,9,10,9,8,10,10,9,
292,"После отсоединения шлангов, что нужно сделать дальше",10,9,10,8,10,10,10,9,10,10,3,
172,Чем размягчить клей под аккумулятором Switch?,7,6,7,6,7,10,8,7,9,10,3,
412,Как завершить замену таймера после его установки,8,9,9,7,8,10,9,8,10,10,3,
532,Как предотвратить короткое замыкание в розетке конфорки,7,9,8,6,5,10,9,7,10,10,3,
652,"Как узнать, в какую сторону поворачивать крышку AirTag",4,6,5,3,2,10,8,4,9,7,5,
772,Почему нужно наклонить все переключатели вперёд перед разборкой,7,8,9,5,6,10,9,7,10,10,3,
892,"Как понять, что принтер больше не подлежит восстановлению",7,9,8,8,8,10,9,9,10,10,6,
53,Нужно ли выключать телефон перед тем как разбирать Pixel 9?,10,9,8,7,9,10,9,8,10,10,8,
173,Как не повредить батарею при отделении?,4,7,6,6,7,10,8,7,9,9,8,
293,Что делать после отсоединения шлангов и проводов от старого насоса,8,9,9,7,8,10,9,8,10,10,5,
413,"Моя кофеварка не включается, хотя шнур подключён к розетке",7,8,9,7,8,10,9,8,10,10,4,
533,Конфорка после чистки перестала греться,7,9,9,7,8,10,9,8,10,10,3,
653,Каким образом снять крышку после поворота,6,8,7,5,6,10,9,7,10,10,3,
773,Почему пульт нужно положить экраном вниз при разборке,6,8,9,5,4,10,9,6,10,10,2,
893,Можно ли использовать ультразвуковую ванночку для чистки,7,8,9,6,6,10,9,7,10,10,5,
54,Почему советуют разряжать батарею до 25% перед ремонтом?,8,9,9,7,8,10,9,8,10,10,5,
174,Почему нужно наклонить устройство при нанесении спирта?,7,9,8,7,7,10,8,8,9,10,4,
294,Когда можно устанавливать новый насос,7,9,8,6,7,10,9,8,10,10,3,
414,"Кофеварка выключилась сама и не нагревается снова, это поломка или особенность",7,8,9,6,7,10,9,8,10,10,6,
534,"Что будет, если не очищать контакты долгое время",9,10,8,7,8,10,9,8,10,10,5,
654,Как вставить новую батарейку в AirTag,6,8,9,7,10,10,9,7,10,10,8,
774,"Как правильно разделить корпус пульта, чтобы ничего не повредить",8,9,10,7,8,10,9,8,10,10,2,
894,"Стоит ли чинить старый принтер, если требуется новая головка",7,9,8,6,8,10,9,7,9,10,4,
55,"Как открыть корпус Pixel 9, если я никогда этого не делал?",7,9,8,6,7,10,9,7,10,10,3,
175,Почему нельзя сгибать батарею во время снятия?,10,9,10,8,9,10,9,9,10,10,9,
295,Можно ли включить стиральную машину сразу после сборки,10,9,10,8,10,10,10,9,10,10,2,
415,Что такое термостат в кофеварке и зачем он нужен,8,7,9,6,5,10,9,7,10,10,7,
535,Почему из розетки конфорки идёт запах гари,10,9,8,7,9,10,9,8,10,10,3,
655,После замены батарейки AirTag нужно заново подключать к iPhone,8,9,10,7,9,10,10,9,10,10,8,
775,Можно ли использовать старые болты для крепления новых джойстиков,10,9,10,8,10,10,10,9,10,10,3,
895,Как отличить успешную чистку от неисправной печатающей головки,7,8,8,6,7,10,9,8,9,10,8,
56,"Что делать, если заднее стекло треснуто и присоска не держится?",1,2,2,3,2,9,7,3,8,7,1,
176,Когда использовать пластиковую карту при замене батареи Switch?,7,9,10,6,5,8,9,7,10,10,3,
416,Чем измерить состояние нагревательного элемента или термостата в кофеварке,7,8,9,6,7,10,9,8,10,10,4,
296,Что делать после установки новой помпы,7,8,9,5,6,10,9,8,10,10,4,
536,"Если конфорка работает, но мигает или выключается",7,8,9,6,7,10,9,8,9,10,3,
656,Как долго служит батарейка в AirTag,10,9,8,7,10,10,9,8,10,10,7,
776,Сколько винтов нужно снять на задней части корпуса после этого,7,8,9,6,7,10,9,8,10,10,2,
896,"Нужно ли менять всю дверь, если резиновая прокладка не держит",10,9,10,8,10,10,10,9,10,10,3,
57,Можно ли вставлять инструмент глубоко под заднее стекло?,4,7,6,6,5,9,8,7,9,10,8,
177,"Как долго ждать после нанесения спирта перед тем, как отделить батарею?",8,9,9,7,8,10,9,8,10,10,4,
297,Как закрепить новый насос внутри машины,7,8,9,6,7,10,9,7,10,10,3,
417,"Моя кофеварка не греет, но индикаторы на ней светятся, что делать",8,9,10,7,8,10,9,8,10,10,3,
537,Можно ли использовать старую розетку с новыми проводами,8,9,9,7,8,10,9,8,10,10,6,
657,"Что делать, если после замены батарейки AirTag не издаёт звук",6,8,7,6,7,10,9,8,9,10,7,
777,В каком направлении подключаются провода новых джойстиков,10,9,8,7,6,10,10,9,10,10,2,
58,"Что будет, если я не отключу кабели перед началом ремонта?",8,10,9,7,8,10,9,9,10,10,4,
897,Что делать после успешного ремонта,7,8,9,6,5,10,8,7,10,10,3,
178,"Что делать, если батарея не отходит от корпуса?",4,6,5,6,5,10,8,7,9,10,3,
298,"Что делать, если после замены насос не работает",7,9,8,6,7,10,9,8,10,10,4,
418,"Как проверить, исправен ли нагревательный элемент кофеварки",7,8,9,6,8,10,9,7,9,10,3,
658,Мой AirTag долго лежал без использования и не открывается,10,9,10,8,10,10,9,9,10,10,9,
778,"Как понять, где левый и правый джойстик при установке новых",10,9,10,10,10,10,10,8,10,7,10,
538,"Как понять, что розетка конфорки требует замены",10,9,8,7,9,10,9,8,10,10,3,
898,"Дверца моего холодильника перестала закрываться плотно, и он сам открывается через несколько минут",9,10,8,7,8,10,9,8,10,10,8,
59,Как правильно прикрепить присоску к телефону?,10,9,8,7,9,10,9,8,10,10,2,
179,С какой стороны начинать отделять аккумулятор от корпуса?,7,8,9,6,7,10,9,7,10,10,4,
299,"Как проверить, правильно ли закреплён насос после замены",8,9,9,6,5,10,9,7,9,10,3,
419,Почему моя кофеварка перестала греть воду после долгого использования,8,9,9,7,8,10,9,8,9,10,3,
659,Можно ли удалить горькое покрытие с батарейки,10,10,10,10,10,10,10,10,10,10,10,
539,"Можно ли послушать, работает ли нагреватель по звуку",7,9,10,8,10,10,10,8,10,9,2,
0,"Если кабель внешне не повреждён, но зарядка не идёт, как проверить, что проблема именно в нём?",8,9,10,7,9,10,10,9,10,10,4,
779,Как отсоединить старые джойстики,6,8,7,7,7,10,9,8,9,10,3,
899,Почему холодильник стал дольше работать и плохо держит холод,7,10,9,6,8,10,9,9,10,10,3,
60,Как измерить безопасную глубину для инструмента?,4,6,7,5,5,9,8,6,9,9,6,
180,Можно ли установить старую батарею обратно?,9,10,8,7,9,10,10,9,10,10,6,
420,"Как понять, что нужно менять термостат кофеварки",10,9,8,7,9,10,9,8,10,10,3,
300,Почему насос может не подходить по конструкции,10,9,8,7,6,10,9,8,10,10,3,
540,"Что делать, если все конфорки работают, кроме одной, и она новая",8,9,9,7,8,10,9,8,10,10,3,
660,Какая батарейка подойдёт лучше — с покрытием или без,10,9,8,7,9,10,9,8,10,10,2,
780,Когда пульт можно закрывать после установки джойстиков,7,8,9,6,8,10,9,7,10,10,7,
900,С чего начать ремонт резинки на дверце холодильника,8,9,9,7,8,10,9,8,10,10,7,
1,"Если после чистки порт всё равно не работает, что это значит?",6,7,8,5,6,10,9,7,9,10,3,
61,"Я тяну присоску, но стекло не отходит. Что делать?",7,8,9,6,7,10,9,8,10,10,3,
181,Как очистить отсек от старого клея?,9,10,8,7,8,10,9,8,10,10,3,
301,"Почему насос нужно располагать точно в том же положении, что и старый",7,8,9,6,8,10,9,7,10,10,7,
421,"Можно ли отремонтировать перегорающий предохранитель, если он сгорел",8,9,9,8,9,10,9,9,10,10,4,
541,"Как понять, нормальный ли контакт у конфорки",7,8,9,7,7,10,8,8,9,10,5,
661,"Что делать, если крышка не закрывается",7,8,8,6,6,10,9,7,9,10,4,
781,"Что делать, если новый джойстик не встаёт на место",8,9,9,7,8,10,9,8,10,10,6,
901,"Как найти, чем прикреплён уплотнитель к двери",8,9,9,7,8,10,9,8,10,10,9,
2,"Что делать, если после смены кабеля зарядка всё равно не идёт?",7,9,10,8,9,10,10,9,10,10,2,
62,Можно ли использовать металлический нож вместо лопатки?,8,10,9,7,9,9,10,8,10,10,2,
302,Что делать со старым насосом после замены,4,6,7,5,7,10,9,6,8,10,3,
182,Как установить новую батарею правильно?,7,8,9,6,7,10,9,8,10,10,5,
422,Что такое предохранитель внутри кофеварки и как он работает,7,9,8,7,7,10,9,8,9,10,5,
542,Почему новая розетка быстро загрязнилась,8,9,10,7,8,10,9,8,10,10,3,
662,Можно ли повредить AirTag при замене батарейки,10,6,8,7,9,10,9,8,10,5,10,
902,Что понадобится для ремонта дверного уплотнителя холодильника,9,10,8,7,8,10,9,8,10,10,9,
782,Как зафиксировать заднюю крышку пульта,10,9,8,7,7,10,10,9,10,10,2,
303,"Можно ли повредить стиральную машину, если она лежит неправильно",8,10,9,7,7,10,10,8,10,10,4,
3,"Я вставляю кабель в iPhone, но зарядка не начинается. Что делать, если я не знаю, почему это так?",7,8,9,7,8,10,9,8,9,10,8,
63,Как не потерять винты при разборке?,4,8,7,5,5,10,9,6,8,7,2,
423,Как проверить плавкий предохранитель моей кофеварки,7,8,9,6,7,10,9,8,10,10,5,
183,"Что делать, если новая батарея не имеет клея?",7,9,8,7,7,10,9,8,9,10,4,
543,Нужно ли вынимать вилку из розетки при осмотре конфорки,8,9,9,7,8,10,9,8,10,10,6,
663,Можно ли использовать любую CR2032 батарейку,10,9,10,8,10,10,9,9,10,10,6,
783,Каким инструментом прикрутить новые джойстики к корпусу,8,9,10,7,8,10,9,8,10,10,6,
903,Нужно ли полностью вынимать все винты,8,9,9,7,8,10,9,8,10,10,6,
304,"Что делать, если после замены остаётся течь воды снизу",8,9,10,8,9,10,9,9,10,10,7,
4,"Чем безопасно очистить разъём зарядки iPhone, если я не специалист?",10,9,8,7,8,10,9,8,10,10,7,
64,Нужно ли разрезать клей только снизу?,7,9,9,7,8,10,9,8,10,10,2,
184,Почему нужно разрядить батарею перед началом?,8,9,9,7,7,10,9,8,10,10,7,
424,Как часто нужно проводить очистку кофеварки от накипи,10,9,8,7,9,10,9,8,10,10,9,
544,Как тестировать питание до розетки мультиметром,7,9,10,8,9,9,10,9,10,10,8,
664,После замены крышка должна плотно закрываться,7,8,9,6,7,10,9,8,10,10,3,
784,Можно ли подключать батарею сразу после сборки,6,8,7,5,6,10,9,7,10,10,3,
904,Можно ли оставить холодильник включённым во время ремонта,8,9,10,6,5,10,9,7,10,10,2,
305,"Как долго длится замена насоса, если делать всё по шагам",7,8,9,6,7,10,9,7,9,10,3,
5,"Как сделать принудительную перезагрузку на iPhone 11, если он перестал заряжаться?",7,9,8,7,8,10,9,8,9,10,6,
65,После снятия стекла что нужно сделать первым?,10,9,10,7,9,8,9,8,10,10,8,
185,Какие меры безопасности нужны при работе с вздутой батареей?,10,9,8,7,9,10,9,9,10,10,2,
425,"Почему кофеварка шумит, но кофе не течёт",7,8,8,6,7,10,9,7,9,10,7,
545,"Что делать, если мультиметр показывает сопротивление меньше 20Ω",7,8,8,6,7,10,9,8,10,10,4,
665,"Нужны ли инструменты, чтобы поменять батарейку в AirTag",10,9,10,8,10,10,10,9,10,10,9,
785,Как правильно закрыть корпус обратно,8,9,10,7,8,10,9,8,10,10,5,
905,"Могу ли я просто оторвать резинку силой, если она присохла",7,9,8,7,6,10,9,8,9,10,3,
306,"Как проверить, что новый насос работает исправно",7,9,8,6,7,10,9,8,10,10,4,
6,"Мой iPhone вдруг перестал заряжаться без видимых причин, не падал и не намок. Что может быть причиной?",9,8,9,8,9,10,8,9,10,10,9,
66,"Я почти снял заднее стекло, но оно всё ещё держится. Что делать?",9,10,8,7,7,10,9,8,10,10,3,
186,Почему нельзя хранить или использовать полностью «мертвую» батарею Switch?,7,8,9,7,8,10,9,8,10,10,6,
426,"Что делать, если кофеварка греет, но не варит",7,9,8,6,7,10,9,8,9,10,7,
666,"Если при нажатии крышка не двигается, я делаю что-то не так",7,9,9,6,7,10,8,7,9,10,2,
546,Если конфорка искрит при подключении другой,7,9,8,6,7,10,9,8,9,10,7,
786,"Если на экране пульта движения стиков не совпадают, что делать",7,8,9,6,8,10,9,7,10,10,5,
906,Как аккуратно снять старый уплотнитель,7,8,9,6,7,10,9,7,10,10,5,
7,"У меня iPhone 7, он перестал заряжаться, но включается. Как сделать перезагрузку прошивки?",8,9,9,7,8,10,9,8,10,10,7,
67,"Что мне нужно, чтобы закрепить новое заднее стекло?",10,9,10,8,10,10,10,9,10,10,2,
187,Почему не стоит использовать неоригинальные отвёртки при ремонте Switch?,7,8,9,6,8,10,9,7,9,10,4,
307,Почему важно всё записывать и фотографировать во время ремонта,1,4,6,2,1,8,7,3,9,5,1,
427,Можно ли включать кофеварку без воды,10,9,10,10,10,10,10,8,10,10,10,
547,Почему конфорка иногда искрит после установки,7,8,9,6,7,10,9,8,10,10,3,
667,Зачем нажимать на крышку AirTag при открытии,10,9,9,7,6,10,8,8,10,10,4,
787,"Как убедиться, что установка прошла успешно",10,9,10,8,10,10,10,9,10,10,3,
907,Как правильно сушить уплотнитель после мойки,8,9,9,7,8,10,9,8,10,10,2,
8,"Мой iPhone не заряжается, хотя он включается. Что мне сначала проверить, если я ничего не понимаю в ремонтах?",8,9,9,7,8,10,9,8,10,10,8,
68,Какие могут быть последствия ремонта для влагозащиты Pixel 9?,6,8,7,5,5,10,8,6,9,10,3,
188,"Что сделать, если винт слишком тугой и не откручивается?",8,9,9,7,8,10,9,8,9,10,3,
308,Как избежать ошибок при установке нового насоса,7,8,9,6,7,10,9,7,10,10,3,
428,"Если в моей кофеварке нагрев есть, но кофе не горячий, что это может быть",8,9,9,7,8,10,9,8,10,10,6,
548,Можно ли отремонтировать конфорку с трещинами на металле,7,8,9,6,5,10,9,8,10,10,4,
668,"Можно ли заменить батарейку быстрее, чем за две минуты",10,9,8,7,8,10,10,9,10,10,2,
908,"Чем можно обработать уплотнитель, чтобы он не трескался",9,10,8,7,8,10,9,8,9,10,6,
788,"Что делать, если пульт не включается после сборки",7,8,8,7,7,10,8,8,9,10,6,
9,Мой старенький iPhone 6 не реагирует на зарядку. Как перезапустить его?,8,9,8,9,8,10,9,9,10,10,8,
69,Как снять крышку платы?,6,8,9,7,7,10,9,8,10,10,8,
189,Какие конкретно модели Switch совместимы с этой батареей?,4,6,5,7,8,10,9,7,9,9,7,
309,"Что будет, если пропан случайно начнёт выходить при ремонте",8,9,9,6,7,10,9,8,10,10,4,
429,"Моя кофеварка варит кофе, но через некоторое время полностью выключается",7,8,9,7,8,10,9,8,9,10,4,
549,Если конфорка троит и выключается при нагреве,8,10,9,7,8,10,9,9,10,10,3,
669,Как заменить неисправный переключатель на моём гайковёрте,8,10,9,7,9,10,9,8,10,10,6,
789,Нужно ли калибровать новые джойстики Hall effect,7,8,9,6,7,10,9,8,10,10,4,
10,"Почему мой новый кабель не заряжает телефон, хотя у друзей работает?",10,9,10,8,10,10,10,9,10,10,2,
909,Что нужно сделать после снятия старого уплотнителя,10,9,8,7,9,10,9,8,10,10,4,
70,Можно ли использовать обычную отвёртку вместо Torx Plus?,8,9,9,7,8,10,9,8,10,10,4,
190,Можно ли использовать устройство без батареи во время ремонта?,7,8,9,6,5,10,9,7,10,10,3,
310,Как безопасно отключить газ от гриля перед ремонтом,7,8,9,6,5,10,9,7,10,10,3,
430,Можно ли использовать уксус для очистки кофеварки,10,8,9,10,10,10,10,10,10,7,10,
550,"Когда я включаю духовку, пахнет газом, это нормально",8,10,9,7,8,10,9,9,10,10,6,
670,Мой гайковёрт Performance Tool W54002 перестал менять направление вращения,10,9,10,8,10,10,9,9,10,10,7,
790,Как долго занимает замена джойстиков,4,7,8,5,6,10,9,6,9,10,3,
910,Почему стоит использовать именно силиконовую смазку,7,8,9,6,7,10,9,7,10,10,3,
11,"Если мой iPhone подключен, но значок зарядки не показывает заряд, что это значит?",10,9,10,8,10,10,10,9,10,10,8,
71,Что делать после снятия крышки платы?,7,9,8,7,7,10,8,8,10,10,4,
191,Можно ли использовать обычную термопасту вместо термогеля?,10,9,8,7,9,10,9,8,10,10,6,
311,Что делать после успешной замены,8,9,10,6,5,10,9,8,10,10,4,
431,Можно ли самостоятельно заменить нагревательный элемент,7,8,9,6,7,10,9,8,10,10,3,
551,Запах газа из духовки не исчезает даже после нагрева,10,9,10,7,8,10,10,9,10,10,3,
671,"Как понять, что крышка AirTag открыта",7,8,9,6,8,10,9,7,10,10,8,
791,"Если один стик работает, а другой нет",7,8,6,5,2,10,9,6,10,10,3,
911,"Что делать, если на уплотнителе трещины или разрывы",10,9,10,8,10,10,9,9,10,10,9,
12,"iPhone включается, но быстро разряжается и не держит заряд. Почему?",9,9,10,8,9,10,9,9,10,10,8,
72,Можно ли перепутать винты по длине?,7,8,9,6,7,10,9,7,10,10,3,
192,Как долго займёт полная замена батареи Switch?,6,8,9,7,8,10,9,8,10,10,2,
312,Нужно ли использовать специальные инструменты для этой работы,7,8,8,6,7,10,9,8,9,10,3,
432,Почему кофеварка останавливает нагрев во время работы,8,10,9,7,8,10,9,8,10,10,2,
672,"Что делать, если устройство упало после замены батарейки",7,6,8,6,7,10,9,8,10,10,2,
552,"Что делать, если после всех замен конфорка всё равно не включается",7,8,9,7,7,10,9,8,10,10,4,
792,Можно ли повредить джойстики при установке,7,9,8,6,5,10,9,7,10,10,3,
912,"Почему важно немного ослабить винты, а не выкрутить их полностью",8,9,10,7,8,10,9,8,10,10,6,
13,После обновления iOS телефон перестал заряжаться. Что делать?,7,8,9,7,8,10,9,8,10,10,8,
73,Как безопасно отсоединить шлейф вспышки?,7,9,8,6,7,10,9,8,10,10,3,
193,Почему нельзя использовать металлические инструменты рядом с аккумулятором?,10,9,8,7,8,10,9,8,10,10,7,
313,"Куда деть старый шланг, если я его заменяю",7,9,8,6,7,10,9,8,10,9,3,
433,Как безопасно разобрать кофеварку для диагностики,7,9,8,6,7,10,9,6,10,10,5,
553,"Духовку недавно передвинули, и теперь чувствуется запах газа",10,9,10,8,9,10,9,9,10,10,3,
673,AirTag перестал работать после установки новой батарейки,7,8,9,6,7,10,9,8,10,10,7,
793,Почему новые джойстики считаются лучше старых,3,4,6,2,2,10,7,3,8,5,1,
913,Почему стоит начинать установку с угла,3,4,3,4,3,10,8,4,9,8,2,
14,Мой iPhone перестал заряжаться ночью. Он просто лежал. Что случилось?,10,9,10,8,10,10,10,9,10,10,7,
74,Как не поцарапать корпус при извлечении камеры?,6,8,9,7,8,10,9,7,10,10,8,
194,Что делать со старой батареей после замены?,7,8,9,6,8,10,9,7,10,10,4,
314,Как правильно отсоединить шланг от газового баллона,10,9,8,7,6,10,9,8,10,10,2,
434,Как проверить целостность проводки кофеварки,7,9,8,7,7,10,9,8,10,10,6,
674,Как собрать AirTag обратно после замены,10,9,10,8,10,10,10,10,10,9,10,
554,"Почему моя духовка пахнет тухлыми яйцами, когда я включаю нагрев",7,9,8,6,7,10,9,8,10,10,2,
794,Что делать после завершения установки,7,8,9,6,5,10,9,7,10,10,2,
914,Как правильно установить уплотнитель обратно,10,9,8,7,9,10,8,8,10,10,8,
15,"Мой телефон начал заряжаться через раз, иногда да, иногда нет. Что может быть?",6,8,7,6,7,10,9,8,9,10,5,
195,Нужно ли менять термопасту при снятии защитной пластины?,8,9,10,7,8,10,9,8,10,10,7,
75,"Как правильно отключать батарею, чтобы не повредить разъём?",8,9,10,7,8,10,9,8,10,10,6,
315,Где находится батарейка в электрическом поджиге гриля,8,10,9,7,9,10,10,8,10,10,3,
555,"Как проверить, не течёт ли газ из моей духовки",10,10,10,9,10,10,10,8,10,10,2,
435,Почему моя кофеварка не подаёт признаков жизни после долгого хранения,7,9,8,7,7,10,9,8,10,10,6,
675,Как снять аккумулятор с гайковёрта Performance Tool W54002,7,6,8,6,7,10,9,7,10,10,5,
795,"Как понять, что ремонт выполнен правильно",8,9,9,7,8,10,9,8,10,10,6,
915,Как наносить смазку — толстым или тонким слоем,8,10,9,7,8,10,9,8,10,10,3,
196,Что делать после сборки консоли?,7,8,9,6,7,10,9,8,10,10,3,
76,Что делать после того как снял рамку и катушку зарядки?,7,8,9,7,8,10,9,8,9,10,3,
316,"Мой газовый гриль перестал зажигаться и не подаёт газ, я не знаю, с чего начать ремонт",7,8,9,6,7,10,9,8,10,10,8,
436,Почему важно проводить техническое обслуживание кофеварки,10,9,8,7,9,10,9,8,10,10,7,
556,"Я боюсь подходить к духовке, чтобы проверить соединения, если пахнет газом",10,8,9,7,8,10,9,8,10,10,2,
676,Почему мой гайковёрт не реагирует на кнопку включения,8,10,9,7,8,10,9,8,10,10,2,
796,Как безопасно открыть корпус веб-камеры,7,8,9,6,7,10,9,8,10,10,4,
916,"Чтобы вернуть уплотнитель, нужно ли затягивать винты сразу",10,9,8,7,9,10,9,8,10,10,8,
77,Можно ли тянуть за кабель батареи рукой?,8,10,9,7,8,10,9,8,10,10,3,
197,Какие инструменты нужны для замены батареи?,7,6,6,6,5,10,8,7,9,10,7,
317,Почему мой гриль не щёлкает при нажатии кнопки розжига,8,9,10,7,8,10,9,8,10,10,2,
437,Можно ли отключить функцию автоматического выключения кофеварки,8,9,9,7,6,10,9,8,10,10,3,
677,Как безопасно начать ремонт гайковёрта,8,10,9,7,8,10,9,9,10,10,2,
557,Почему в духовке слышен «вжух» при зажигании,8,10,9,7,8,10,9,9,10,10,4,
797,"Что делать, если передняя панель не снимается",8,10,9,7,8,10,9,8,10,10,2,
917,"Как понять, что уплотнитель закреплён правильно",9,10,8,7,7,10,9,8,10,10,7,
78,Как отсоединить фронтальную камеру от платы?,6,8,7,5,6,10,8,7,9,10,3,
198,Можно ли использовать обычную Phillips отвёртку вместо JIS при замене ридера?,10,6,6,2,8,9,10,6,10,3,1,
318,Что такое жиклёр и зачем он нужен в гриле,10,9,8,7,10,10,9,6,10,10,2,
438,"Что делать, если кофе становится тёплым, а не горячим после заваривания",8,9,9,7,8,10,9,8,10,10,3,
558,"Что делать, если газ пахнет сильнее при розжиге духовки на пропане",8,9,9,7,8,10,9,8,10,10,4,
678,"Какая отвёртка подходит, чтобы открутить винты корпуса гайковёрта",10,9,10,8,9,10,10,9,10,10,2,
798,"Как понять, что именно повреждено в моей Anivia 1080p",8,9,9,6,7,10,9,8,10,10,2,
918,"Что делать, если уплотнитель съехал после закручивания",8,9,9,7,8,10,9,8,10,10,9,
79,"Что делать, если камера не вынимается легко?",7,9,8,6,6,10,9,7,10,10,3,
199,Почему важно полностью выключить консоль перед ремонтом?,4,7,8,3,3,10,9,5,10,10,6,
319,"Как открутить шланг от жиклёра, чтобы заменить его",7,9,10,8,9,10,9,9,10,10,3,
439,Может ли мягкая вода влиять на работу кофеварки,10,9,8,7,10,10,9,8,10,10,3,
559,"Что значит, если воспламенитель светится, но за 90 секунд огонь не появляется",6,7,7,6,6,10,9,8,9,10,5,
679,"Сколько винтов нужно открутить, чтобы разобрать корпус гайковёрта",3,7,8,5,6,10,9,6,10,10,2,
799,"Что мне нужно, чтобы отремонтировать разъём в веб-камере Anivia 1080p",9,10,8,7,8,10,9,8,10,10,8,
919,"Как проверить, что дверь закрывается герметично",6,7,8,4,3,10,9,5,9,9,2,
80,Что нужно сделать перед установкой новой камеры?,10,9,8,7,9,10,10,9,10,10,2,
200,Какие инструменты понадобятся для замены microSD ридера на Switch?,10,10,9,7,6,10,8,8,10,10,3,
320,"После замены батарейки гриль всё ещё не включается, что дальше",7,8,8,6,7,10,9,7,9,10,4,
440,"Что делать, если после всех проверок кофеварка всё равно не нагревается",8,10,9,7,8,10,9,8,10,10,2,
560,Духовка слабо зажигается и пахнет газом перед поджигом,9,10,8,7,9,10,9,8,10,10,4,
680,Что такое винты T-25 и где они находятся,10,9,8,7,9,10,10,8,10,10,3,
800,Моя веб-камера Anivia 1080p начала показывать мигающее изображение и периодически отключается,7,8,8,6,7,9,8,7,9,9,9,
920,Можно ли повредить пластик при закручивании винтов,9,8,10,7,6,10,9,8,10,10,3,
81,Как удалить старый клей?,8,9,9,7,8,9,10,8,10,10,3,
201,"Как убедиться, что всё собрано правильно?",8,9,9,7,8,10,9,8,10,10,3,
321,Где находится соединение между шлангом и корпусом гриля,7,9,9,6,6,10,8,7,10,10,2,
441,"Как узнать, что кофеварка требует замены деталей",9,10,10,8,9,10,10,10,10,10,6,
561,"Как проверить, работает ли воспламенитель в газовой духовке",7,9,8,7,7,10,9,8,9,10,3,
801,"После открытия корпуса я вижу плату и камеру, но не знаю, что дальше",6,8,7,5,6,10,9,7,10,10,4,
681,После снятия верхних винтов корпус всё ещё не открывается,7,8,9,6,5,10,9,7,10,10,2,
921,"Можно ли использовать фен, чтобы резина быстрее стала мягче",7,6,4,5,3,6,9,6,8,9,2,
82,Как установить новый клей для камеры?,7,8,9,6,7,10,9,7,10,10,5,
202,"Мой Nintendo Switch перестал видеть microSD карту, и я не понимаю, почему, что делать?",7,8,9,6,8,10,9,8,10,10,6,
322,Как заменить батарейку в поджиге гриля,10,9,10,8,10,10,9,9,10,10,2,
442,"Мой пылесос iwoly V600 совсем перестал тянуть пыль, хотя мотор гудит нормально",7,8,8,6,6,10,9,7,9,10,6,
562,"Духовка пропанового типа пахнет сильнее, чем раньше",10,9,8,7,8,10,9,8,10,10,3,
682,Как снять переднюю крышку гайковёрта,7,8,9,6,7,10,9,7,10,10,2,
802,Почему нужно держать плату во время выкручивания винтов,8,10,9,7,8,10,9,8,10,10,2,
922,После сборки дверь всё ещё слабо закрывается — это нормально,9,10,8,7,8,10,9,8,10,10,3,
83,"Как проверить, работает ли камера после замены?",4,6,7,4,3,10,8,5,9,10,2,
203,"Если ремонт не удался, где можно получить помощь?",7,8,8,6,7,10,9,8,10,10,4,
323,Нужно ли применять большую силу при откручивании шланга,7,9,8,6,7,10,9,8,10,10,3,
563,Почему духовка загорается только если хлопнуть дверцей,8,9,10,8,9,10,9,9,10,10,3,
443,"Когда я нажимаю кнопку включения пылесоса iwoly V600, ничего не происходит",7,8,8,6,6,10,9,7,10,10,2,
